利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	2000亿	1500亿	1101亿	1006亿	1400亿
    营业收入	1981亿	1483亿	1083亿	977.5亿	1378亿
    利息收入	18.99亿	17.32亿	18.10亿	28.16亿	22.54亿
    手续费及佣金收入	153.3万	129.5万	95.49万	310.1万	98.39万
营业总成本	1696亿	1247亿	914.8亿	861.3亿	1233亿
    营业成本	1382亿	995.6亿	728.9亿	660.2亿	880.2亿
    利息支出	4534万	1.959亿	9332万	6.524亿	7.098亿
    手续费及佣金支出	65.77万	48.96万	33.35万	39.98万	32.56万
    研发费用	69.88亿	36.18亿	--	--	--
    营业税金及附加	17.42亿	15.13亿	14.30亿	7.519亿	13.62亿
    销售费用	189.0亿	166.6亿	164.8亿	155.1亿	288.9亿
    管理费用	43.66亿	24.54亿	54.86亿	50.49亿	48.18亿
    财务费用	-9.482亿	4.313亿	-48.45亿	-19.29亿	-9.422亿
    资产减值损失	2.617亿	2.648亿	-4391万	8632万	3.984亿
其他经营收益					
    加:公允价值变动收益	4626万	921.3万	10.93亿	-10.10亿	-13.82亿
        投资收益	1.068亿	3.966亿	-22.21亿	9665万	7.244亿
        其中:对联营企业和合营企业的投资收益	56.05万	648.7万	803.4万	324.6万	-360.1万
营业利润	310.0亿	261.3亿	175.0亿	135.2亿	160.9亿
    加:营业外收入	3.179亿	5.106亿	10.94亿	14.04亿	7.061亿
    其中:非流动资产处置利得	--	--	283.9万	104.0万	146.0万
    减:营业外支出	4123万	2054万	2441万	1105万	4286万
    其中:非流动资产处置净损失	--	--	1508万	911.9万	1506万
利润总额	312.7亿	266.2亿	185.7亿	149.1亿	167.5亿
    减:所得税费用	48.94亿	41.08亿	30.07亿	22.86亿	24.99亿
净利润	263.8亿	225.1亿	155.7亿	126.2亿	142.5亿
    其中:归属于母公司股东的净利润	262.0亿	224.0亿	154.6亿	125.3亿	141.6亿
    少数股东损益	1.762亿	1.070亿	1.028亿	9129万	9779万
    扣除非经常性损益后的净利润	255.8亿	211.7亿	156.4亿	122.6亿	141.4亿
每股收益					
    基本每股收益	4.36	3.72	2.57	2.08	2.35
    稀释每股收益	4.36	3.72	2.57	2.08	2.35
其他综合收益	-4.573亿	1.257亿	-9160万	-1.397亿	2118万
    归属于母公司股东的其他综合收益	-4.591亿	1.291亿	-8938万	-1.427亿	1707万
    归属于少数股东的其他综合收益	183.1万	-335.7万	-222.6万	295.3万	410.8万
综合收益总额	259.2亿	226.3亿	154.7亿	124.8亿	142.7亿
    归属于母公司所有者的综合收益总额	257.4亿	225.3亿	153.7亿	123.9亿	141.7亿
    归属于少数股东的综合收益总额	1.781亿	1.037亿	1.006亿	9424万	1.019亿
