资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	265.5亿	164.7亿	136.4亿	101.1亿	72.00亿
     以公允价值计量且其变动计入当期损益的金融资产	186.0万	410.1万	1555万	616.0万	303.3万
     应收票据	25.69亿	36.37亿	28.43亿	30.44亿	18.76亿
     应收账款	166.2亿	147.1亿	112.4亿	81.26亿	42.82亿
     预付款项	4.603亿	5.276亿	2.790亿	1.327亿	6531万
     其他应收款	5.867亿	5.837亿	5.286亿	3.353亿	2.553亿
     存货	57.25亿	49.40亿	38.30亿	28.19亿	22.92亿
     一年内到期的非流动资产	3.808亿	6657万	--	--	--
     其他流动资产	7.307亿	37.20亿	41.54亿	21.13亿	31.35亿
流动资产合计	536.3亿	446.5亿	365.3亿	266.8亿	191.1亿
非流动资产					
     可供出售金融资产	2.910亿	2.875亿	2.838亿	5603万	60.43万
     长期应收款	7.055亿	2338万	2.516亿	1.059亿	8732万
     长期股权投资	1.633亿	1.305亿	3500万	--	--
     固定资产	50.82亿	30.24亿	28.54亿	18.87亿	15.00亿
     在建工程	4.161亿	14.36亿	3.165亿	8.446亿	2896万
     无形资产	8.699亿	4.292亿	4.105亿	3.432亿	9655万
     商誉	2.123亿	2.490亿	2.484亿	1.179亿	1.179亿
     递延所得税资产	5.343亿	4.791亿	3.753亿	2.612亿	9608万
     其他非流动资产	15.83亿	8.588亿	4100万	1800万	2.548亿
非流动资产合计	98.58亿	69.18亿	48.16亿	36.34亿	21.83亿
资产总计	634.8亿	515.7亿	413.5亿	303.2亿	212.9亿
流动负债					
     短期借款	34.66亿	9711万	3229万	8.766亿	3.623亿
     以公允价值计量且其变动计入当期损益的金融负债	29.10万	1595万	6979万	1928万	--
     应付票据	4.635亿	8.454亿	8.768亿	2.097亿	2.740亿
     应付账款	103.0亿	100.4亿	70.09亿	58.70亿	33.18亿
     预收款项	6.414亿	5.706亿	4.698亿	3.955亿	5.031亿
     应付职工薪酬	19.22亿	13.91亿	10.85亿	7.881亿	6.561亿
     应交税费	14.19亿	14.54亿	12.06亿	8.223亿	3.945亿
     应付利息	--	--	--	466.9万	--
     应付股利	--	9486万	2011万	2413万	440.2万
     其他应付款	29.53亿	4.967亿	10.49亿	1.599亿	5157万
     一年内到期的非流动负债	31.78亿	15.46亿	1534万	5.864亿	--
     其他流动负债	3.650亿	7.446亿	3.002亿	5.181亿	5.479亿
流动负债合计	247.1亿	172.0亿	121.3亿	102.7亿	61.12亿
非流动负债					
     长期借款	4.400亿	4.900亿	17.22亿	6.758亿	2.448亿
     应付债券	--	31.21亿	29.54亿	--	--
     长期应付款	--	243.7万	700.0万	700.0万	300.0万
     预计负债	7763万	6307万	4193万	6183万	3666万
     递延收益	2.932亿	8893万	1083万	--	1481万
非流动负债合计	8.108亿	37.65亿	47.36亿	7.446亿	2.992亿
负债合计	255.2亿	209.7亿	168.7亿	110.2亿	64.11亿
所有者权益(或股东权益)					
     实收资本（或股本）	92.27亿	92.29亿	61.03亿	40.69亿	40.69亿
     资本公积	19.56亿	18.19亿	10.48亿	16.40亿	14.80亿
     库存股	3.650亿	7.446亿	3.002亿	5.181亿	5.479亿
     盈余公积	44.61亿	34.84亿	26.15亿	18.95亿	13.40亿
     未分配利润	223.6亿	166.0亿	148.6亿	122.0亿	85.10亿
归属于母公司股东权益合计	375.9亿	303.6亿	242.9亿	192.5亿	148.4亿
     少数股东权益	3.740亿	2.460亿	1.928亿	4365万	3691万
股东权益合计	379.6亿	306.0亿	244.8亿	193.0亿	148.8亿
负债和股东权益合计	634.8亿	515.7亿	413.5亿	303.2亿	212.9亿
