利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	498.4亿	419.1亿	319.3亿	252.7亿	172.3亿
    营业收入	498.4亿	419.1亿	319.3亿	252.7亿	172.3亿
营业总成本	396.6亿	332.2亿	251.0亿	199.1亿	130.1亿
    营业成本	274.8亿	234.7亿	186.5亿	151.4亿	95.78亿
    研发费用	44.83亿	31.94亿	--	--	--
    营业税金及附加	4.183亿	3.710亿	2.553亿	1.969亿	1.517亿
    销售费用	58.93亿	44.30亿	29.91亿	21.79亿	15.33亿
    管理费用	13.76亿	10.11亿	31.09亿	22.11亿	16.46亿
    财务费用	-4.243亿	2.654亿	-2.253亿	-1.529亿	-8203万
    资产减值损失	4.269亿	4.846亿	3.176亿	3.389亿	1.829亿
其他经营收益					
    加:公允价值变动收益	1341万	4209万	-4017万	-1615万	303.3万
        投资收益	5193万	4465万	4049万	1.487亿	1.510亿
        其中:对联营企业和合营企业的投资收益	-907.3万	-252.5万	--	--	--
营业利润	123.4亿	104.4亿	68.33亿	54.94亿	43.78亿
    加:营业外收入	1.114亿	4673万	15.11亿	12.94亿	8.565亿
    其中:非流动资产处置利得	--	--	20.39万	282.9万	37.51万
    减:营业外支出	859.3万	302.0万	2991万	3793万	2769万
    其中:非流动资产处置净损失	--	--	94.00万	111.4万	84.24万
利润总额	124.4亿	104.9亿	83.14亿	67.50亿	52.06亿
    减:所得税费用	10.57亿	11.09亿	8.899亿	8.676亿	5.256亿
净利润	113.8亿	93.78亿	74.24亿	58.82亿	46.81亿
    其中:归属于母公司股东的净利润	113.5亿	94.11亿	74.24亿	58.69亿	46.65亿
    少数股东损益	2882万	-3335万	53.91万	1335万	1533万
    扣除非经常性损益后的净利润	109.8亿	91.77亿	72.71亿	56.05亿	44.75亿
每股收益					
    基本每股收益	1.24	1.03	0.82	0.98	1.17
    稀释每股收益	1.23	1.02	0.82	0.97	1.16
其他综合收益	-2406万	1385万	-1269万	-1799万	-1166万
    归属于母公司股东的其他综合收益	-2190万	1355万	-1357万	-1882万	-1076万
    归属于少数股东的其他综合收益	-216.5万	29.98万	88.30万	83.34万	-90.35万
综合收益总额	113.6亿	93.91亿	74.12亿	58.64亿	46.69亿
    归属于母公司所有者的综合收益总额	113.3亿	94.24亿	74.10亿	58.50亿	46.55亿
    归属于少数股东的综合收益总额	2666万	-3305万	142.2万	1418万	1443万
