利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	31.23亿	25.47亿	23.52亿	29.26亿	6.120亿
    营业收入	13.10亿	11.12亿	12.03亿	28.13亿	6.120亿
    利息收入	6.183亿	4.156亿	2.351亿	656.3万	--
    手续费及佣金收入	11.96亿	10.19亿	9.137亿	1.066亿	--
营业总成本	22.72亿	20.72亿	17.05亿	8.764亿	4.181亿
    营业成本	3.713亿	3.970亿	3.231亿	3.241亿	1.486亿
    研发费用	2.503亿	1.820亿	--	--	--
    营业税金及附加	3103万	2689万	5183万	4559万	2382万
    销售费用	2.598亿	3.158亿	2.660亿	2.025亿	1.152亿
    管理费用	11.92亿	11.01亿	11.14亿	3.944亿	1.839亿
    财务费用	1.565亿	-3230万	-6654万	-1.084亿	-5969万
    资产减值损失	1191万	8145万	1717万	1822万	628.7万
其他经营收益					
    加:公允价值变动收益	4921万	-2179万	-2499万	2236万	--
        投资收益	2.112亿	2.006亿	4524万	3892万	--
        其中:对联营企业和合营企业的投资收益	6058万	8392万	3952万	1626万	--
    汇兑收益	40.80万	-58.48万	53.54万	11.78万	--
营业利润	11.31亿	6.820亿	6.674亿	21.11亿	1.939亿
    加:营业外收入	16.52万	57.57万	1.402亿	6288万	488.0万
    其中:非流动资产处置利得	--	--	30.81万	--	--
    减:营业外支出	993.1万	347.8万	943.1万	281.3万	151.3万
    其中:非流动资产处置净损失	--	--	598.5万	13.18万	2.051万
利润总额	11.21亿	6.791亿	7.982亿	21.71亿	1.973亿
    减:所得税费用	1.626亿	4424万	8574万	3.224亿	3158万
净利润	9.582亿	6.348亿	7.124亿	18.49亿	1.657亿
    其中:归属于母公司股东的净利润	9.587亿	6.369亿	7.138亿	18.49亿	1.657亿
    少数股东损益	-47.67万	-205.7万	-133.5万	-5.736万	-5.496万
    扣除非经常性损益后的净利润	9.472亿	6.156亿	5.951亿	17.96亿	1.629亿
每股收益					
    基本每股收益	0.19	0.12	0.17	0.61	0.09
    稀释每股收益	0.19	0.12	0.17	0.61	0.09
其他综合收益	521.3万	-856.1万	-46.43万	13.76万	2528.00
    归属于母公司股东的其他综合收益	521.3万	-859.9万	-44.06万	12.53万	2528.00
    归属于少数股东的其他综合收益	--	3.752万	-2.369万	1.232万	--
综合收益总额	9.634亿	6.263亿	7.120亿	18.49亿	1.657亿
    归属于母公司所有者的综合收益总额	9.639亿	6.283亿	7.133亿	18.49亿	1.657亿
    归属于少数股东的综合收益总额	-47.67万	-202.0万	-135.8万	-4.505万	-5.496万
