资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	12.15亿	13.56亿	3.984亿	1.070亿	1.664亿
     应收票据	--	--	--	15.00万	50.00万
     应收账款	2.513亿	1.359亿	1.251亿	1.708亿	1.348亿
     预付款项	3010万	3388万	4233万	1145万	3510万
     应收利息	--	705.6万	--	--	--
     其他应收款	13.69亿	1.296亿	1953万	1010万	1.195亿
     存货	1.417亿	1.337亿	1.433亿	7979万	1.439亿
     其他流动资产	1.390亿	4936万	1657万	1046万	328.1万
流动资产合计	31.48亿	18.39亿	7.452亿	3.897亿	6.036亿
非流动资产					
     持有至到期投资	3000万	3000万	3000万	--	--
     长期股权投资	112.2万	120.1万	116.9万	123.5万	157.8万
     投资性房地产	223.0万	238.4万	253.9万	269.3万	284.8万
     固定资产	11.04亿	9.600亿	8.757亿	6.048亿	5.992亿
     在建工程	4.687亿	3.675亿	1.280亿	9618万	2488万
     固定资产清理	--	--	--	10.68万	--
     无形资产	161.9万	178.0万	227.3万	256.3万	3182万
     商誉	--	--	--	--	41.09万
     长期待摊费用	890.5万	630.7万	660.2万	793.8万	1151万
     递延所得税资产	964.6万	816.4万	650.8万	549.4万	1095万
     其他非流动资产	1677万	1850万	1.494亿	9659万	3352万
非流动资产合计	16.43亿	13.96亿	12.02亿	8.176亿	7.167亿
资产总计	47.91亿	32.35亿	19.47亿	12.07亿	13.20亿
流动负债					
     短期借款	12.67亿	7.118亿	--	3200万	3200万
     应付票据	--	--	--	--	6333万
     应付账款	1.928亿	2.846亿	1.614亿	2.080亿	1.820亿
     预收款项	111.2万	106.0万	646.6万	407.7万	5400万
     应付职工薪酬	907.8万	1166万	1667万	1467万	771.2万
     应交税费	860.0万	2964万	6547万	5496万	5396万
     应付利息	--	1030万	--	5.768万	6.900万
     其他应付款	2.820亿	1.981亿	3.913亿	1.078亿	7249万
     一年内到期的非流动负债	2.548亿	--	28.90万	1.115亿	9798万
     其他流动负债	746.4万	1142万	--	--	--
流动负债合计	20.24亿	12.48亿	6.449亿	5.329亿	5.635亿
非流动负债					
     长期借款	5.945亿	2.830亿	--	--	--
     递延收益	--	--	366.4万	401.1万	400.9万
     递延所得税负债	--	--	--	1.157万	3.275万
非流动负债合计	5.945亿	2.830亿	366.4万	402.2万	404.2万
负债合计	26.18亿	15.31亿	6.485亿	5.370亿	5.676亿
所有者权益(或股东权益)					
     实收资本（或股本）	6.530亿	6.530亿	6.530亿	6.530亿	1.583亿
     资本公积	2236万	2236万	2236万	2236万	5.764亿
     专项储备	--	--	985.5万	985.5万	849.3万
     盈余公积	1.491亿	6384万	1426万	1426万	1426万
     未分配利润	20.47亿	16.23亿	9.510亿	3.008亿	1.407亿
归属于母公司股东权益合计	21.72亿	17.04亿	12.98亿	6.664亿	7.288亿
     少数股东权益	--	--	106.4万	399.6万	2397万
股东权益合计	21.72亿	17.04亿	12.99亿	6.704亿	7.527亿
负债和股东权益合计	47.91亿	32.35亿	19.47亿	12.07亿	13.20亿
