利润表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
营业总收入	20.46亿	24.67亿	14.77亿	14.91亿	24.39亿
    营业收入	20.46亿	24.67亿	14.77亿	14.91亿	24.39亿
营业总成本	9.394亿	10.80亿	7.232亿	12.85亿	21.83亿
    营业成本	6.232亿	6.770亿	4.416亿	9.529亿	19.08亿
    营业税金及附加	1.365亿	1.565亿	8458万	4353万	4665万
    销售费用	1.122亿	1.350亿	1.082亿	9507万	1.033亿
    管理费用	1.177亿	1.242亿	1.073亿	1.294亿	1.143亿
    财务费用	-5642万	-1346万	-1526万	-2143万	346.1万
    资产减值损失	628.1万	42.52万	-320.7万	8570万	693.2万
其他经营收益					
    加:公允价值变动收益	458.5万	452.9万	-334.5万	-8.470万	117.6万
        投资收益	-1432万	1882万	1891万	-592.1万	7546万
        其中:对联营企业和合营企业的投资收益	-363.6万	5.490万	8.732万	17.03万	-198.8万
营业利润	10.97亿	14.10亿	7.691亿	2.003亿	3.327亿
    加:营业外收入	1538万	34.61万	161.0万	144.9万	204.9万
    其中:非流动资产处置利得	--	--	8.661万	57.43万	--
    减:营业外支出	949.2万	4072万	472.3万	102.2万	268.0万
    其中:非流动资产处置净损失	--	--	77.37万	5068.63	36.34万
利润总额	11.03亿	13.70亿	7.660亿	2.007亿	3.321亿
    减:所得税费用	2.024亿	2.565亿	1.187亿	6109万	6302万
净利润	9.007亿	11.13亿	6.473亿	1.396亿	2.691亿
    其中:归属于母公司股东的净利润	9.007亿	11.14亿	6.503亿	1.600亿	2.672亿
    少数股东损益	--	-34.26万	-293.2万	-2043万	182.2万
    扣除非经常性损益后的净利润	9.006亿	11.31亿	6.384亿	-4723万	-6739万
每股收益					
    基本每股收益	1.38	1.71	1.00	0.25	0.41
    稀释每股收益	1.38	1.71	1.00	0.25	0.41
其他综合收益	-4062万	-3.057亿	-1892万	-1.645亿	-6672万
    归属于母公司股东的其他综合收益	-4062万	-3.057亿	-1892万	-1.645亿	-6672万
综合收益总额	8.600亿	8.076亿	6.284亿	-2485万	2.023亿
    归属于母公司所有者的综合收益总额	8.600亿	8.079亿	6.313亿	-441.7万	2.005亿
    归属于少数股东的综合收益总额	--	-34.26万	-293.2万	-2043万	182.2万
