资产负债表	2018-12-31	2017-12-31	2016-12-31	2015-12-31	2014-12-31
流动资产					
     货币资金	20.58亿	17.94亿	3.925亿	4.515亿	1.969亿
     应收票据	22.40万	--	--	--	--
     应收账款	3.394亿	2.246亿	1.291亿	1.058亿	1.455亿
     预付款项	3.442亿	2.512亿	2.314亿	2.699亿	2.606亿
     其他应收款	1.082亿	8204万	5830万	6167万	5076万
     存货	22.99亿	15.37亿	16.57亿	17.42亿	14.42亿
     其他流动资产	4.106亿	3.382亿	2.932亿	--	--
流动资产合计	55.60亿	42.27亿	27.62亿	26.31亿	20.96亿
非流动资产					
     可供出售金融资产	3657万	7050万	--	--	--
     长期应收款	161.1万	--	--	--	--
     长期股权投资	--	--	841.8万	947.3万	--
     投资性房地产	1828万	2083万	2124万	2192万	2259万
     固定资产	14.42亿	14.03亿	14.05亿	11.75亿	11.67亿
     在建工程	4.499亿	2.198亿	1.560亿	3.541亿	1.499亿
     无形资产	6.656亿	4.996亿	4.436亿	3.226亿	3.335亿
     开发支出	--	3989万	--	--	--
     商誉	6297万	4907万	4907万	4907万	4907万
     长期待摊费用	4.564亿	3.274亿	2.571亿	2.151亿	1.249亿
     递延所得税资产	6982万	3107万	4039万	4131万	5364万
     其他非流动资产	--	3668万	--	--	--
非流动资产合计	32.03亿	26.98亿	23.81亿	21.89亿	19.01亿
资产总计	87.63亿	69.25亿	51.43亿	48.19亿	39.96亿
流动负债					
     短期借款	13.44亿	1.108亿	5.144亿	3.764亿	1.578亿
     应付票据	3.742亿	3340万	1.165亿	9119万	2314万
     应付账款	3.948亿	2.582亿	2.619亿	2.576亿	1.976亿
     预收款项	1.452亿	4.271亿	3.070亿	3.145亿	3.806亿
     应付职工薪酬	7240万	6406万	5543万	5789万	6890万
     应交税费	1.268亿	2.050亿	1.465亿	1.060亿	4099万
     应付利息	--	112.2万	156.8万	158.0万	50.97万
     其他应付款	9512万	7259万	4412万	1.321亿	7519万
     一年内到期的非流动负债	4.418亿	1.377亿	2.879亿	2.000亿	--
     其他流动负债	--	--	--	39.03万	30.70万
流动负债合计	29.94亿	13.09亿	17.35亿	15.38亿	9.450亿
非流动负债					
     长期借款	8.315亿	6.306亿	1.486亿	1.729亿	2.000亿
     长期应付款	7016万	5318万	5314万	5300万	--
     长期应付职工薪酬	320.8万	--	--	--	--
     递延收益	4270万	--	--	--	--
     递延所得税负债	--	--	--	12.99万	14.69万
     其他非流动负债	--	44.30万	100.2万	70.67万	63.90万
非流动负债合计	9.476亿	6.842亿	2.028亿	2.267亿	2.008亿
负债合计	39.42亿	19.93亿	19.38亿	17.64亿	11.46亿
所有者权益(或股东权益)					
     实收资本（或股本）	17.75亿	18.06亿	6.450亿	6.463亿	6.468亿
     资本公积	12.70亿	13.85亿	9.388亿	9.457亿	9.501亿
     库存股	2.814亿	1500万	--	393.9万	--
     盈余公积	2.997亿	2.624亿	2.336亿	1.979亿	1.726亿
     未分配利润	17.44亿	15.25亿	13.82亿	12.87亿	11.08亿
归属于母公司股东权益合计	48.02亿	49.32亿	32.05亿	30.55亿	28.51亿
     少数股东权益	1913万	--	--	--	--
股东权益合计	48.21亿	49.32亿	32.05亿	30.55亿	28.51亿
负债和股东权益合计	87.63亿	69.25亿	51.43亿	48.19亿	39.96亿
